0,pb206_pb204,pb207_pb204,1,sr87_sr86,nd143_nd144
4.0,18.453,15.588,4.0,0.703902,0.512813
4.0,18.364,15.582,4.0,0.703877,0.512758
4.0,18.55,15.58,4.0,0.70387625,0.51276
5.0,19.208,15.635,4.0,0.703233,0.512937
5.0,19.208,15.615,4.0,0.703233,0.512937
4.0,18.488,15.59,3.0,0.704133,0.512708
4.0,18.563,15.607,4.0,0.704052,0.51284
4.0,18.656,15.608,4.0,0.704024,0.512685
4.0,18.482,15.594,4.0,0.703848,0.512747
4.0,18.558,15.569,4.0,0.703756,0.512742
4.0,18.379,15.583,3.0,0.704296,0.512772
4.0,18.322,15.579,3.0,0.704612,0.512709
4.0,18.574,15.613,4.0,0.703722,0.512765
4.0,18.64,15.616,4.0,0.703855,0.512763
4.0,18.525,15.58,4.0,0.703284,0.51288
4.0,18.509,15.561,4.0,0.70323,0.512881
4.0,18.57,15.64,4.0,0.704061,0.512732
3.0,18.197,15.607,3.0,0.704689,0.5126
4.0,18.584,15.611,4.0,0.704023,0.512712
4.0,18.612,15.597,4.0,0.703772,0.512838
4.0,18.373,15.567,4.0,0.703716,0.512801
5.0,19.142,15.641,4.0,0.703309,0.512858
5.0,18.92,15.655,,,
4.0,18.57,15.64,4.0,0.704061,0.512748
4.0,18.297,15.6,3.0,0.70422,0.512632
4.0,18.28,15.592,3.0,0.704255,0.51266
4.0,18.323,15.609,3.0,0.704359,0.512695
3.0,18.148,15.574,3.0,0.704717,0.512629
4.0,18.308,15.599,3.0,0.704308,0.512692
4.0,18.471,15.557,3.0,0.704335,0.512733
4.0,18.453,15.59,3.0,0.704875,0.512636
4.0,18.303,15.574,4.0,0.704094,0.512795
4.0,18.267,15.538,4.0,0.704106,0.512623
4.0,18.361,15.596,4.0,0.703909,0.51274
4.0,18.383,15.586,4.0,0.703878,0.51276
4.0,18.46,15.624,4.0,0.70382,0.512746
4.0,18.433,15.598,4.0,0.703903,0.512718
4.0,18.592,15.601,2.0,0.705551,0.512614
4.0,18.3,15.629,4.0,0.703849,0.512756
5.0,18.853,15.622,3.0,0.704453,0.512666
5.0,18.714,15.632,4.0,0.703773,0.512783
4.0,18.647,15.625,3.0,0.704152,0.512694
4.0,18.686,15.611,4.0,0.703889,0.512778
4.0,18.395,15.609,4.0,0.704129,0.512727
4.0,18.282,15.596,,,
5.0,18.97,15.652,4.0,0.703253,0.512862
5.0,18.945,15.637,4.0,0.703279,0.512863
5.0,18.942,15.641,4.0,0.703248,0.512863
5.0,19.17,15.659,4.0,0.703312,0.512882
5.0,19.158,15.643,4.0,0.703341,0.512887
5.0,18.871,15.631,4.0,0.703511,0.512916
5.0,18.932,15.641,4.0,0.703404,0.512904
5.0,18.922,15.649,4.0,0.703272,0.512923
5.0,18.965,15.648,4.0,0.703433,0.512901
5.0,18.79,15.596,4.0,0.703325,0.51292
5.0,18.939,15.636,4.0,0.703399,0.512905
5.0,19.015,15.655,4.0,0.703421,0.512915
4.0,18.41519968,15.58331485,4.0,0.703999322,0.512771615
4.0,18.52787289,15.58202332,4.0,0.704057247,0.512880594
4.0,18.47372175,15.59729078,4.0,0.70400861,0.51276898
4.0,18.51712348,15.58816493,4.0,0.704125156,0.512766256
4.0,18.33257752,15.56645838,4.0,0.703914606,0.512789426
4.0,18.45681583,15.58694384,4.0,0.703881044,0.512804433
4.0,18.59075949,15.60387308,3.0,0.704212674,0.512764333
4.0,18.54053839,15.59550194,4.0,0.703907552,0.512822145
4.0,18.49540724,15.59108257,4.0,0.70407356,0.51276915
4.0,18.51355466,15.58998533,4.0,0.704039866,0.512780575
4.0,18.51906278,15.59028415,4.0,0.704029306,0.512791565
4.0,18.38105428,15.57843559,4.0,0.70363482,0.512841607
4.0,18.39590057,15.58138183,4.0,0.703749494,0.512804813
4.0,18.41130483,15.57771331,4.0,0.703777074,0.512809353
4.0,18.45889533,15.58360201,4.0,0.70411418,0.5127365
4.0,18.37549841,15.5747872,4.0,0.703904336,0.512793206
4.0,18.56262277,15.59618444,4.0,0.703971066,0.512816456
4.0,18.32635889,15.57027171,4.0,0.703946152,0.512767765
4.0,18.52990046,15.5929243,4.0,0.70385095,0.51283321
4.0,18.56558721,15.60444384,4.0,0.70409628,0.51276123
4.0,18.62412162,15.61215107,4.0,0.704058672,0.512760455
4.0,18.566,15.605,3.0,0.704162,0.512727
4.0,18.5688,15.6004,4.0,0.703991,0.512774
4.0,18.516,15.5869,4.0,0.70394,0.512792
4.0,18.3198,15.5898,3.0,0.704879,0.51264
4.0,18.3922,15.5923,3.0,0.704351,0.512753
4.0,18.4951,15.5907,3.0,0.704297,0.512725
4.0,18.47941429,15.59075714,4.0,0.704056571,0.512785571
4.0,18.3046,15.579,3.0,0.704371,0.512722
4.0,18.5344,15.598,4.0,0.703887,0.512794
4.0,18.547,15.59,3.0,0.704332,0.512729
4.0,18.593,15.592,4.0,0.703933,0.512758
4.0,18.485,15.57,4.0,0.703295,0.512928
4.0,18.532,15.597,4.0,0.704122,0.512768
4.0,18.53,15.581,4.0,0.703713,0.512857
4.0,18.563,15.583,4.0,0.703511,0.512857
4.0,18.435,15.569,4.0,0.703724,0.51283
4.0,18.582,15.586,4.0,0.703863,0.512798
4.0,18.62,15.61,4.0,0.70404,0.51279
4.0,18.52,15.59,3.0,0.70431,0.51278
4.0,18.551,15.567,3.0,0.704115,0.512556
4.0,18.492,15.582,4.0,0.70355,0.512923
4.0,18.5461,15.5958,4.0,0.70378,0.512839
4.0,18.5873,15.6028,4.0,0.703739,0.512854
4.0,18.591,15.593,4.0,0.70371,0.512866
4.0,18.594,15.615,4.0,0.70376,0.512832
4.0,18.629,15.603,3.0,0.70436,0.512906
4.0,18.63169,15.60852891,4.0,0.703889161,0.512811542
4.0,18.58465714,15.60894286,4.0,0.704050429,0.512842714
4.0,18.542,15.577,4.0,0.70372,0.512841
4.0,18.5662,15.6033,4.0,0.703892,0.512834
4.0,18.549,15.591,4.0,0.70393,0.512784
4.0,18.567,15.605,4.0,0.70388,0.512827
4.0,18.557,15.602,4.0,0.70391,0.51282
4.0,18.622,15.599,4.0,0.70397,0.512812
4.0,18.56,15.596,4.0,0.70374,0.512824
4.0,18.528,15.61,4.0,0.70373,0.512839
4.0,18.575,15.58,4.0,0.70397,0.512811
4.0,18.5789,15.6051,4.0,0.703982,0.512886
4.0,18.549,15.525,3.0,0.704312,0.512771
4.0,18.6123,15.6094,4.0,0.704144,0.512787
4.0,18.5973,15.6074,4.0,0.703932,0.512807
4.0,18.6118,15.6073,3.0,0.704163,0.512784
4.0,18.55607749,15.6019262,4.0,0.703802782,0.512869405
4.0,18.6148,15.6147,3.0,0.704335,0.512796
4.0,18.56,15.59,3.0,0.70431,0.51284
4.0,18.61230988,15.61201497,4.0,0.704045852,0.512749455
4.0,18.60934506,15.60969428,4.0,0.704049592,0.512752135
4.0,18.557,15.576,4.0,0.70364,0.512868
4.0,18.486,15.571,4.0,0.70345,0.512931
4.0,18.617,15.613,,,
4.0,18.516,15.57,4.0,0.703912,0.512796
4.0,18.551,15.578,4.0,0.70381,0.512861
4.0,18.576,15.594,4.0,0.70401,0.512818
4.0,18.558,15.589,4.0,0.70378,0.512881
4.0,18.583,15.594,4.0,0.70416,0.512855
4.0,18.447,15.58,4.0,0.704021,0.512762
4.0,18.457,15.58,4.0,0.704001,0.512765
4.0,18.462,15.579,4.0,0.703995,0.51277
4.0,18.553,15.603,4.0,0.70388,0.512835
4.0,18.594,15.629,4.0,0.70395,0.51291
4.0,18.567,15.626,4.0,0.70396,0.512909
4.0,18.62050687,15.61171454,3.0,0.704161052,0.512713715
4.0,18.5896,15.6078,4.0,0.704022,0.512894
4.0,18.6145,15.6094,4.0,0.703932,0.512862
4.0,18.581,15.593,4.0,0.70403,0.512881
5.0,19.050024,15.635767,4.0,0.7037598,0.512794
5.0,18.8541,15.5922,4.0,0.7038758,0.512808
5.0,18.8053,15.5863,4.0,0.7036819,0.512827
5.0,18.91275,15.625737,4.0,0.7040034,0.512782
5.0,18.7788,15.7494,4.0,0.70395,0.51277
4.0,18.54631,15.60614,2.0,0.70729,0.512814
4.0,18.5624,15.5988,3.0,0.704161,0.512759
4.0,18.5413,15.6,4.0,0.704106,0.512742
4.0,18.507,15.601,3.0,0.70415,0.51274
4.0,18.58946,15.61056,4.0,0.704116,0.5127182
4.0,18.5787,15.608,4.0,0.703919,0.51282
4.0,18.5136,15.5958,3.0,0.704158,0.512743
4.0,18.5852,15.5941,4.0,0.703895,0.512795
4.0,18.5765,15.6041,4.0,0.703975,0.51282
4.0,18.4843,15.6023,3.0,0.704162,0.512724
4.0,18.508,15.585,4.0,0.704126,0.512751
4.0,18.56,15.6043,3.0,0.704182,0.512748
4.0,18.4916,15.6277,3.0,0.7050659,0.512666
4.0,18.4401,15.6255,2.0,0.7117943,0.512676
4.0,18.52,15.62,2.0,0.7078,0.512708
5.0,19.27,15.64,4.0,0.703465,0.512808
5.0,19.21,15.66,4.0,0.70406,0.5128
5.0,19.37,15.66,4.0,0.70398,0.51282
5.0,19.51,15.65,2.0,0.706708,0.512847
5.0,19.31,15.64,4.0,0.70357,0.512836
5.0,19.17,15.61,4.0,0.70343,0.512784
5.0,19.44,15.62,4.0,0.703336,0.512826
5.0,19.45,15.65,4.0,0.703379,0.512812
4.0,18.45,15.6,2.0,0.705477,0.512338
4.0,18.52,15.59,2.0,0.707987,0.512316
4.0,18.29,15.53,3.0,0.704149,0.512412
4.0,18.44,15.5051,3.0,0.7041139,0.512418
4.0,18.5136,15.4998,3.0,0.7041603,0.512435
1.0,21.1493,15.7403,2.0,0.7056752,0.512583
1.0,23.5184,15.8547,2.0,0.7053247,0.512554
1.0,23.024,15.8381,3.0,0.7050407,0.512584
5.0,19.3727,15.6027,4.0,0.7040324,0.512818
5.0,19.3988,15.5815,3.0,0.704698,0.512806
5.0,19.6017,15.5859,4.0,0.7040388,0.512759
1.0,20.3402,15.6869,3.0,0.7049678,0.512539
5.0,19.4126,15.5939,4.0,0.7039856,0.5128
5.0,19.5812,15.5774,4.0,0.7037988,0.512753
4.0,18.3428,15.4996,3.0,0.7041757,0.512437
5.0,19.1677,15.635,2.0,0.7104422,0.512604
5.0,20.098,15.611,4.0,0.7034473,0.512822
4.0,18.6951,15.6235,2.0,0.7100999,0.512717
4.0,18.6443,15.5273,3.0,0.7040919,0.512486
3.0,18.16,15.61,,,
5.0,19.062,15.56225,3.0,0.704199,0.51267175
5.0,19.3,15.8,2.0,0.70649,0.5127
5.0,18.778,15.641,,,
5.0,18.864,15.682,,,
5.0,19.3,15.699,2.0,0.706485,0.512568
5.0,18.836,15.634,3.0,0.70505,0.51275
4.0,18.675,15.637,3.0,0.70514,0.51272
5.0,19.088,15.678,3.0,0.705238,0.512685
5.0,19.149,15.689,2.0,0.706664,0.512553
5.0,19.026,15.661,2.0,0.7066883,0.512359
5.0,19.153,15.68,2.0,0.706663,0.512377
5.0,18.924,15.674,2.0,0.7067876,0.5123499
5.0,19.049,15.652,2.0,0.707106,0.512499
5.0,18.934,15.677,2.0,0.706981,0.512361
5.0,18.917,15.695,2.0,0.706779,0.51236
5.0,18.922,15.688,2.0,0.706604,0.512374
5.0,18.94,15.675,2.0,0.706534,0.512373
5.0,18.91,15.692,2.0,0.706979,0.512348
5.0,18.899,15.681,2.0,0.706973,0.512341
5.0,18.763,15.695,2.0,0.71047,0.51213
5.0,18.939,15.674,2.0,0.706875,0.512357
4.0,18.704,15.617,2.0,0.710371,0.512155
5.0,18.762,15.665,2.0,0.710084,0.512165
5.0,18.753,15.658,2.0,0.710371,0.512162
5.0,18.827,15.659,2.0,0.708185,0.512214
5.0,18.748,15.615,2.0,0.70653,0.512766667
4.0,18.678,15.645,2.0,0.70819,0.51226
