,sr87_sr86,nd143_nd144
4257,0.705278,0.513126
4258,0.704264,0.51274
4259,0.708099,0.51275
4260,0.708967,0.512645
4261,0.705788,0.512845
4263,0.707172,0.512802
4265,0.714179,0.512181
4284,0.71157,0.512833
4286,0.717036,0.51238
4287,0.711269,0.512953
4298,0.719993,0.512934
4299,0.712836,0.512363
4305,0.705172,0.51268
4306,0.706257,0.512997
4307,0.705382,0.51283
4313,0.705653,0.512851
4318,0.705193,0.512661
4319,0.70456,0.512665
4321,0.704972,0.512832
4323,0.706671,0.51266
4327,0.70721,0.512525
4329,0.70488,0.512511
4330,0.70393,0.512876
4332,0.70393,0.512876
4341,0.706277,0.512515
4349,0.706693,0.512396
4386,0.705342,0.512927
4387,0.704681,0.512884
4388,0.704104,0.513485
4389,0.704227,0.512869
4390,0.704104,0.513157
4412,0.704064,0.51282
4419,0.70355,0.51282
4420,0.70519,0.51282
4421,0.70442,0.51284
4440,0.703999,0.512833
4444,0.703856,0.512815
4446,0.703993,0.512832
4458,0.704225,0.51288
4459,0.704065,0.51289
4460,0.703955485,0.512894296
4473,0.702246,0.513181
4474,0.703041,0.513056
4475,0.702966,0.512808
4476,0.703204,0.513211
4498,0.70426,0.512751
4502,0.704109,0.51291
4503,0.704394,0.512724
4504,0.704362,0.51273
4505,0.703996,0.512799
4506,0.704215,0.512821
4509,0.704367,0.512736
4511,0.704364,0.512795
4521,0.704129,0.512739
4524,0.703757,0.512842
4526,0.703866,0.512804
4527,0.70414,0.512877
4539,0.70388,0.512878
4586,0.70342,0.512805
4588,0.70294,0.512958
4592,0.70339,0.512793
4648,0.703777,0.512815
4661,0.703744,0.512816
4667,0.703734,0.512799
4668,0.703902,0.512813
4669,0.703764,0.512799
4676,0.703525,0.512912
4678,0.703704,0.512884
4686,0.703877,0.512758
4694,0.70387625,0.51276
4696,0.703318,0.512668
4697,0.704045,0.512826
4698,0.702777,0.513279
4699,0.702617,0.513122
4701,0.705876,0.512232
4702,0.704258,0.512675
4703,0.703233,0.512937
4704,0.703233,0.512937
4706,0.704639,0.512688
4707,0.704323,0.512751
