,pb206_pb204,pb207_pb204
6455,18.753,15.658
6479,18.827,15.659
6480,18.748,15.615
6484,18.678,15.645
6516,18.9399,15.6849
6517,18.9063,15.6861
6518,18.9444,15.686
6566,19.111,15.6206
6567,18.989,15.603
6568,18.922,15.626
6569,19.169,15.61
6575,18.8878,15.6292
6582,19.322,15.583
6585,19.359,15.608
6587,18.908,15.604
6598,19.11,15.63
6600,19.319,15.623
6605,19.112,15.608
6627,20.111,15.667
6629,19.342,15.561
6630,20.784,15.665
6631,20.63,15.652
6634,20.318,15.673
7424,20.73,15.73
7425,19.56,15.71
7426,20.72,15.74
7427,20.59,15.74
7428,20.43,15.77
7429,20.16,15.74
7430,20.08,15.65
7431,20.57,15.74
7432,19.81,15.64
7530,19.181,15.644
7602,19.36,15.64
7607,19.506,15.67
7625,18.995,15.588
7626,18.978,15.563
7627,19.041,15.618
7633,19.067,15.606
7636,19.082,15.641
7640,19.186,15.647
7641,19.182,15.654
7654,19.18,15.643
7672,18.992,15.597
7674,19.046,15.606
7675,18.935,15.587
7676,19.049,15.61
7678,18.833,15.589
7679,18.836,15.583
7681,19.116,15.634
7684,19.237,15.605
7688,18.928,15.621
7723,18.274,15.532
7873,18.34,15.56
7874,19.83,15.63
7875,16.14,15.22
7876,17.97,15.48
7877,17.22,15.33
7878,17.11,15.37
7879,18.87,15.51
7880,17.88,15.36
7881,19.53,15.7
7882,19.64,15.68
7883,16.58,15.31
7884,18.58,15.52
7885,18.05,15.47
7886,18.14,15.48
7887,18.87,15.53
7888,18.63,15.54
7889,18.07,15.46
7890,17.34,15.37
7891,20.23,15.69
7892,18.11,15.5
7893,18.27,15.49
7894,18.84,15.65
7895,18.11,15.47
7898,18.96,15.6
7899,19.87,15.65
7900,19.72,15.64
7901,18.9,15.58
7902,19.66,15.59
7903,19.88,15.65
7904,19.85,15.67
7905,18.92,15.59
7906,18.94,15.6
7907,18.9,15.57
7908,20.75,15.74
7909,19.61,15.61
7910,18.94,15.57
7911,20.13,15.71
7912,20.16,15.74
7913,19.12,15.57
7914,19.97,15.71
7915,20.72,15.74
7916,20.74,15.76
7917,20.6,15.73
7918,20.19,15.73
7919,19.12,15.57
7920,18.69,15.54
7921,20.25,15.71
7922,19.94,15.75
7923,20.43,15.75
7924,20.26,15.68
7934,18.6,15.55
7935,18.53,15.54
7936,18.56,15.5
7937,19.61,15.63
7938,20.36,15.73
7939,18.47,15.58
7940,18.28,15.53
8043,18.83,15.565
8046,18.981,15.582
8093,18.844,15.686
8094,18.843,15.622
8095,18.605,15.656
8098,18.975,15.671
8129,17.55,15.54
8134,18.07,15.54
8136,18.52,15.46
8138,19.73,15.72
8149,18.45,15.53
8154,18.24,15.54
8173,18.378,15.603
8175,18.518,15.561
8176,18.66,15.575
8177,18.731,15.603
8178,18.715,15.594
8181,18.413,15.576
8184,18.93,15.602
8188,18.765,15.617
8190,18.756,15.567
8192,18.727,15.603
8194,18.715,15.617
8196,18.148,15.583
8197,18.135,15.578
8200,18.509,15.546
8203,18.663,15.535
8204,18.798,15.578
8206,18.505,15.56
8226,19.463,15.613
8244,19.45,15.66
8246,20.5,15.67
8248,19.97,15.66
8249,20.66,15.7
8253,20.07,15.68
8254,20.03,15.63
8255,19.99,15.69
8256,20.0,15.67
8257,20.49,15.78
8279,19.898,15.685
8534,18.39,15.51
8535,18.52,15.53
8536,17.67,15.58
8537,17.72,15.63
8539,18.45,15.49
8540,18.4,15.5
8545,18.48,15.56
8547,17.62,15.54
8639,1156.774,125.984
8643,152.549,31.823
8644,214.395,44.733
8646,109.569,25.432
8650,127.548,31.297
8652,1149.6,113.325
8658,129.416,27.287
8660,170.389,35.517
8661,175.923,38.509
9048,19.5807,15.6201
9049,19.2833,15.6365
9050,19.2592,15.6366
9051,19.461,15.6317
9052,19.4142,15.6443
9053,19.6986,15.6291
9054,19.228,15.6622
9055,19.4895,15.6443
9056,19.2283,15.6346
9057,19.4018,15.6631
9058,19.1411,15.6393
9059,19.3952,15.6586
9060,19.6324,15.627
9061,19.8207,15.6201
9062,19.5565,15.6052
9063,19.5738,15.6248
9064,20.2773,15.6456
9065,19.682,15.6249
9066,20.27254,15.6752
9067,19.4771,15.61454
9068,19.1165,15.6367
9069,19.4182,15.6375
9070,19.5229,15.6226
9117,19.381,15.67
9151,19.052,16.646
9152,18.961,15.621
9155,19.842,15.604
9171,19.645,15.673
9172,19.639,15.656
9173,18.636,15.534
9264,21.151,15.752
9265,21.465,15.81
9267,21.598,15.812
9268,21.718,15.837
9269,21.622,15.819
9270,21.484,15.805
9271,21.668,15.828
9272,21.864,15.846
9273,21.708,15.831
9274,21.666,15.817
9275,21.566,15.811
9276,21.497,15.795
9288,18.784,15.574
9289,19.835,15.618
9290,17.991,15.49
9291,20.27,15.662
9303,19.97,15.63
9304,21.33,15.75
9305,19.67,15.61
9306,20.94,15.71
9307,21.06,15.72
9309,20.86,15.73
9310,19.74,15.59
9311,19.6,15.59
9312,19.64,15.61
9314,20.75,15.7
9316,19.7,15.59
9317,19.29,15.56
9318,19.63,15.59
9330,19.4035,15.5794
9341,19.3494,15.6008
9345,19.355,15.706
9346,19.327,15.706
9347,19.191,15.662
9349,19.15,15.61
9371,18.38,15.547
9372,18.342,15.534
9395,20.97,15.74
9396,20.88,15.71
9397,20.98,15.75
9398,21.08,15.78
9399,20.71,15.74
9400,20.82,15.73
9407,20.5151,15.7178
9409,20.5742,15.7231
9412,20.7588,15.7399
9416,20.843,15.7422
9418,20.1102,15.6722
9421,20.1338,15.6657
9423,20.7202,15.7379
9424,20.4032,15.7208
9426,20.7772,15.7472
9428,20.972,15.784
9429,19.946,15.765
9430,20.091,15.791
9432,21.068,15.756
9433,21.082,15.764
9454,21.107,15.77
9467,21.057,15.753
9488,19.6191,15.6003
9489,19.5528,15.5932
9490,20.9034,15.7371
9491,21.0009,15.7515
9492,20.6989,15.7297
9508,21.06,15.776
9509,21.052,15.763
9510,21.072,15.763
9529,18.387,15.531
9530,18.483,15.531
9531,20.256,15.652
9532,19.452,15.608
9533,18.952,15.617
9534,18.084,15.473
9535,18.219,15.477
9536,18.173,15.485
9537,18.101,15.465
9538,17.589,15.476
9539,20.872,15.749
9730,17.674,15.404
9731,18.11,15.496
9732,17.617,15.444
9739,18.01,15.501
9740,18.391,15.552
9741,18.711,15.539
9742,18.521,15.557
9743,19.132,15.532
9744,18.669,15.627
9749,18.56466667,15.59883333
9753,18.482,15.576
9754,18.421,15.542
9755,18.338,15.521
9756,18.44,15.527
9768,18.057,15.507
9769,18.044,15.48
9779,17.925,15.516
9780,18.116,15.524
9782,18.299,15.551
9783,18.552,15.604
9802,18.581,15.51736
9803,18.385,15.60776
9804,18.458,15.55769
9814,18.646,15.568
9815,18.642,15.538
9819,18.303,15.562
9822,18.147,15.548
9825,17.92,15.535
9847,19.31,15.61
9851,19.38,15.57
9852,19.18,15.63
9853,19.34,15.59
9858,19.42,15.58
9863,19.26,15.62
9878,18.712,15.586
9879,18.63,15.589
9880,18.453,15.6
9881,18.348,15.576
9882,18.384,15.579
9883,18.349,15.577
9884,18.378,15.58
9885,18.703,15.591
9886,18.467,15.572
9887,18.439,15.574
9888,18.439,15.56
9889,18.466,15.573
9890,18.479,15.577
9891,18.477,15.572
9909,18.573,15.776
9910,18.685,15.613
9911,18.7,15.573
9912,18.837,15.631
9913,18.812,15.629
9914,18.634,15.598
9915,18.75,15.639
10029,18.616,15.621
10032,18.589,15.616
10039,19.134,15.672
10043,18.629,15.598
10176,18.54,15.582
10177,18.871,15.603
10182,18.976,15.565
10183,18.824,15.62
10184,18.076,15.574
10185,18.796,15.596
10208,18.823,15.617
10209,18.921,15.618
10389,18.538,15.589
10635,21.743,15.784
10797,17.959,15.57
10801,18.201,15.559
10802,18.078,15.567
10805,18.81,15.584
10809,18.342,15.568
10810,18.298,15.57
10832,18.576,15.5626
10833,19.241,15.62773
10836,19.656,15.633
10999,244.09,44.56
11000,50.476,19.484
11021,17.905,15.576
11022,17.982,15.6
11023,17.926,15.574
11024,17.977,15.593
11025,17.999,15.602
11097,19.6477,15.5872
11098,19.0905,15.6192
11099,19.5222,15.639
11101,19.3262,15.5568
11104,19.56,15.65
11108,19.62,15.65
11124,19.21,15.61
11125,19.44,15.62
11127,19.24,15.62
11133,19.42,15.61
11136,19.62,15.63
11159,19.117,15.611
11160,19.107,15.658
11161,19.011,15.617
11241,19.42,15.62
11242,19.88,15.62
11243,19.3,15.61
11244,20.04,15.63
11245,19.52,15.63
11246,19.7,15.63
11250,19.513,15.595
11253,19.706,15.598
11257,19.695,15.603
11267,19.633,15.592
11270,19.601,15.596
11275,19.479,15.588
11279,19.863,15.611
11280,20.096,15.659
11283,20.09,15.626
11291,19.18,15.51
11292,18.85,15.48
11323,19.653,15.575
11324,19.711,15.594
11325,19.589,15.565
11326,19.538,15.558
11327,19.614,15.704
11338,19.83,15.65
11342,19.48,15.56
11351,19.76,15.57
11361,19.69,15.64
11376,19.62,15.56
11386,19.87,15.63
11398,20.01,15.64
11399,19.75,15.55
11405,19.477,15.617
11406,19.919,15.618
11407,19.77,15.631
11408,19.668,15.636
11409,19.86,15.605
11472,19.5363,15.5569
11473,19.737,15.5793
11474,19.4947,15.631
11475,20.0234,15.6212
11476,19.9007,15.6199
11477,20.0923,15.6289
11479,19.3468,15.5417
11480,19.4757,15.5479
11523,19.961,15.641
11524,19.823,15.618
11525,19.631,15.562
11526,19.993,15.637
11527,19.874,15.628
11528,19.85,15.62677778
11529,19.959,15.632
11530,19.959,15.632
11531,20.001,15.637
11533,19.896,15.624
11534,20.134,15.638
11535,19.972,15.636
11536,19.793,15.621
11537,20.186,15.654
11538,19.77633333,15.64366667
11539,20.511,15.673
11540,19.347,15.626
11541,20.047,15.627
11542,20.12633333,15.63944444
11543,19.8,15.626
11544,19.861,15.631
11545,20.177,15.647
11546,20.276,15.653
11547,20.507,15.667
11550,19.89,15.707
11552,19.871,15.721
11553,19.867,15.723
11554,19.786,15.704
11555,19.776,15.702
11556,19.956,15.751
11557,19.874,15.724
11558,19.762,15.671
11559,19.749,15.651
11560,19.712,15.646
11561,19.79,15.668
11562,19.806,15.7
11563,19.653,15.694
11564,19.368,15.623
11565,19.612,15.661
11566,19.489,15.617
11567,19.518,15.605
11568,19.905,15.73
11569,19.638,15.671
11570,19.827,15.727
11571,19.797,15.656
11572,19.4,15.588
11573,19.96929481,15.76887547
11575,19.851,15.758
11576,20.104,15.79
11577,19.864,15.713
11578,20.069,15.782
11579,19.807,15.707
11580,19.626,15.666
11581,19.396,15.587
11582,19.717,15.687
11583,19.472,15.595
11584,20.162,15.797
11585,19.97731059,15.77188422
11587,19.791,15.709
11588,19.466,15.59
11594,19.884,15.754
11595,19.75,15.699
11596,19.333,15.601
11641,20.00736974,15.75082295
11642,19.69,15.675
11644,19.534,15.607
11647,19.56950813,15.640502
11648,19.611,15.642
11649,19.444,15.581
11692,19.645,15.631
11694,19.6166008,15.64451367
11696,19.504,15.589
11697,19.33,15.56
11722,19.448,15.582
11728,19.81198527,15.70167998
11729,19.90416666,15.7307646
11740,20.0206,15.6172
11741,20.0587,15.6219
11742,19.9293,15.6123
11743,19.8403,15.61
11744,19.996,15.6166
11754,19.339,15.529
11755,19.833,15.617
11756,19.595,15.582
11757,19.65,15.592
11758,19.641,15.583
11761,19.846,15.608
11773,19.98,15.62
11774,19.61,15.59
11775,19.92,15.62
11776,19.5,15.54
11777,19.64,15.59
11778,20.02,15.62
11790,19.381,15.511
11791,19.736,15.535
11792,19.883,15.63
11807,19.713,15.598
11808,19.61,15.57
11815,19.992,15.615
11816,19.983,15.62
11819,19.932,15.615
11820,19.928,15.614
11825,19.98,15.61
11909,15.769375,15.095375
11920,14.911,14.937
11921,14.789,14.912
11924,15.948,15.133
11925,15.485875,15.045
11926,15.78775,15.1135
11927,15.953,15.147
11928,16.43925,15.241375
11929,15.916,15.134
11930,15.988,15.142
13094,15.54275,15.037875
13103,18.545,15.851
13104,18.647,15.776
13105,18.161,15.751
13107,14.78714286,15.02842857
13108,16.87028571,15.63414286
13109,20.50928571,16.15757143
13111,18.30666667,15.83916667
13112,18.863,15.897
13113,18.307,15.802
13114,18.545,15.851
13116,14.78714286,15.02842857
13117,18.647,15.776
13118,18.30666667,15.83916667
13123,18.161,15.751
13124,18.261,15.802
13125,18.307,15.802
13126,18.863,15.897
13127,18.181,15.776
13128,16.87028571,15.63414286
13129,20.50928571,16.15757143
13159,17.57,15.36
13160,18.41,15.42
13203,20.603,15.655
13204,20.078,15.694
13221,18.783,15.489
13222,18.735,15.554
13235,19.161,15.69
13236,17.811,15.378
13237,19.248,15.568
13239,18.763,15.565
13807,16.333,15.46
13881,19.327,15.561
13882,18.662,15.51
13884,18.914,15.438
13885,18.859,15.404
13886,19.508,15.495
13887,18.95,15.581
13888,18.851,15.497
13889,19.842,15.689
14048,19.91,15.74
14071,17.849,15.457
14452,19.19,15.717
14521,18.233,15.471
14522,18.604,15.595
14523,18.969,15.565
14524,18.385,15.586
14525,18.429,15.645
14526,18.444,15.6
14527,18.404,15.59
14529,18.589,15.579
14530,18.897,15.623
14531,18.839,15.636
14532,18.344,15.561
14538,19.099,15.666
14539,19.139,15.654
14540,18.332,15.606
14670,18.9,15.6
14671,18.9,15.63
14673,18.93,15.66
14674,19.22,15.66
14675,19.22,15.68
14676,19.22,15.68
14677,19.21,15.7
14678,19.18,15.67
14679,18.92,15.64
14691,19.24,15.71
14692,19.24,15.69
14693,19.25,15.71
14694,19.23,15.7
14695,19.19,15.64
14696,19.22,15.66
14697,19.27,15.7
14724,18.23,15.51
14725,18.22,15.45
14727,18.181,15.534
14728,17.943,15.514
14729,18.008,15.534
14730,17.419,15.424
14732,17.913,15.488
14733,19.163,15.569
14734,18.254,15.511
14738,18.178,15.511
14739,18.257,15.524
14740,18.037,15.518
14781,18.044,15.539
14786,18.244,15.563
14806,17.482,15.473
14807,18.177,15.573
14808,17.834,15.518
14817,17.858,15.496
14818,17.973,15.51
14852,17.821,15.55
14853,17.742,15.531
14854,18.194,15.523
14855,18.123,15.541
14856,18.67,15.57
14857,18.591,15.555
14858,18.263,15.548
14859,18.127,15.509
14898,17.216,15.498
14900,17.156,15.494
14901,17.202,15.53
14905,18.052,15.578
14906,18.797,15.633
14907,18.834,15.627
14908,18.232,15.613
14909,18.378,15.58
14911,19.014,15.631
14912,18.959,15.657
14913,18.908,15.657
14914,18.9,15.633
14925,19.242,15.696
14926,19.189,15.688
14927,19.037,15.633
14928,19.068,15.648
14929,19.153,15.688
14930,18.126,15.585
14931,19.047,15.668
14932,18.887,15.622
14933,19.16,15.671
14934,19.171,15.682
14935,19.16,15.697
14936,19.125,15.682
14937,18.612,15.629
14955,18.984,15.598
14956,18.923,15.601
14960,18.875,15.583
14964,18.917,15.581
15019,19.053,15.554
15020,19.289,15.558
15022,21.051,15.77
15023,18.842,15.579
15024,19.635,15.675
15025,18.913,15.596
15026,18.685,15.558
15031,18.891,15.632
15032,18.89,15.551
15033,18.906,15.522
15035,19.018,15.528
15037,18.999,15.521
15038,18.684,15.565
15043,19.063,15.523
15114,19.494,15.583
15115,19.547,15.592
15116,19.422,15.593
15117,19.368,15.575
15118,19.246,15.619
15119,19.188,15.568
15120,19.452,15.624
15121,19.556,15.596
15122,19.496,15.594
15123,19.516,15.607
15124,19.535,15.605
15128,19.476,15.62
15156,19.079,15.595
15165,18.995,15.596
15173,18.875,15.62
15174,18.997,15.599
15189,18.232,15.592
15190,18.475,15.604
15191,18.976,15.67
15192,19.017,15.641
15193,18.988,15.637
15194,18.861,15.67
15195,18.896,15.642
15196,18.985,15.644
15209,18.963,15.642
15210,18.13,15.527
15211,18.299,15.605
15212,18.033,15.581
15213,17.947,15.499
15262,18.956,15.586
15263,18.901,15.585
15264,18.906,15.602
15265,18.893,15.642
15266,18.934,15.602
15267,18.491,15.599
15285,18.539,15.61
15286,18.515,15.599
15310,19.172,15.638
15382,18.059,15.474
15384,17.369,15.533
15385,17.804,15.507
